Genotype,AS,LM,AQ,PPQ,MQ,CQ,AL,ASAQ,DHAPPQ,ASMQ
KNY--C1,0.689,0.719,0.862,0.899,0.945,0.81,0.915,0.962,0.972,0.983
KNY--C2,0.689,0.719,0.862,0.213,0.945,0.81,0.915,0.962,0.768,0.983
KNY--Y1,0.241,0.719,0.862,0.899,0.945,0.81,0.795,0.896,0.929,0.962
KNY--Y2,0.241,0.719,0.862,0.213,0.945,0.81,0.795,0.896,0.415,0.962
KYY--C1,0.689,0.828,0.682,0.899,0.945,0.639,0.953,0.905,0.972,0.983
KYY--C2,0.689,0.828,0.682,0.213,0.945,0.639,0.953,0.905,0.768,0.983
KYY--Y1,0.241,0.828,0.682,0.899,0.945,0.639,0.878,0.772,0.929,0.962
KYY--Y2,0.241,0.828,0.682,0.213,0.945,0.639,0.878,0.772,0.415,0.962
KNF--C1,0.689,0.627,0.921,0.899,0.945,0.81,0.89,0.977,0.972,0.983
KNF--C2,0.689,0.627,0.921,0.213,0.945,0.81,0.89,0.977,0.768,0.983
KNF--Y1,0.241,0.627,0.921,0.899,0.945,0.81,0.723,0.948,0.929,0.962
KNF--Y2,0.241,0.627,0.921,0.213,0.945,0.81,0.723,0.948,0.415,0.962
KYF--C1,0.689,0.719,0.761,0.899,0.945,0.639,0.915,0.93,0.972,0.983
KYF--C2,0.689,0.719,0.761,0.213,0.945,0.639,0.915,0.93,0.768,0.983
KYF--Y1,0.241,0.719,0.761,0.899,0.945,0.639,0.795,0.825,0.929,0.962
KYF--Y2,0.241,0.719,0.761,0.213,0.945,0.639,0.795,0.825,0.415,0.962
KNYNYC1,0.689,0.523,0.862,0.899,0.461,0.81,0.859,0.962,0.972,0.846
KNYNYC2,0.689,0.523,0.862,0.213,0.461,0.81,0.859,0.962,0.768,0.846
KNYNYY1,0.241,0.523,0.862,0.899,0.461,0.81,0.646,0.896,0.929,0.607
KNYNYY2,0.241,0.523,0.862,0.213,0.461,0.81,0.646,0.896,0.415,0.607
KYYYYC1,0.689,0.662,0.682,0.899,0.461,0.639,0.897,0.905,0.972,0.846
KYYYYC2,0.689,0.662,0.682,0.213,0.461,0.639,0.897,0.905,0.768,0.846
KYYYYY1,0.241,0.662,0.682,0.899,0.461,0.639,0.752,0.772,0.929,0.607
KYYYYY2,0.241,0.662,0.682,0.213,0.461,0.639,0.752,0.772,0.415,0.607
KNFNFC1,0.689,0.422,0.921,0.899,0.461,0.81,0.83,0.977,0.972,0.846
KNFNFC2,0.689,0.422,0.921,0.213,0.461,0.81,0.83,0.977,0.768,0.846
KNFNFY1,0.241,0.422,0.921,0.899,0.461,0.81,0.57,0.948,0.929,0.607
KNFNFY2,0.241,0.422,0.921,0.213,0.461,0.81,0.57,0.948,0.415,0.607
KYFYFC1,0.689,0.523,0.761,0.899,0.461,0.639,0.859,0.93,0.972,0.846
KYFYFC2,0.689,0.523,0.761,0.213,0.461,0.639,0.859,0.93,0.768,0.846
KYFYFY1,0.241,0.523,0.761,0.899,0.461,0.639,0.646,0.825,0.929,0.607
KYFYFY2,0.241,0.523,0.761,0.213,0.461,0.639,0.646,0.825,0.415,0.607
TNY--C1,0.689,0.77,0.811,0.899,0.945,0.337,0.929,0.947,0.972,0.983
TNY--C2,0.689,0.77,0.811,0.213,0.945,0.337,0.929,0.947,0.768,0.983
TNY--Y1,0.241,0.77,0.811,0.899,0.945,0.337,0.829,0.864,0.929,0.962
TNY--Y2,0.241,0.77,0.811,0.213,0.945,0.337,0.829,0.864,0.415,0.962
TYY--C1,0.689,0.87,0.633,0.899,0.945,0.195,0.965,0.891,0.972,0.983
TYY--C2,0.689,0.87,0.633,0.213,0.945,0.195,0.965,0.891,0.768,0.983
TYY--Y1,0.241,0.87,0.633,0.899,0.945,0.195,0.908,0.735,0.929,0.962
TYY--Y2,0.241,0.87,0.633,0.213,0.945,0.195,0.908,0.735,0.415,0.962
TNF--C1,0.689,0.676,0.847,0.899,0.945,0.337,0.908,0.959,0.972,0.983
TNF--C2,0.689,0.676,0.847,0.213,0.945,0.337,0.908,0.959,0.768,0.983
TNF--Y1,0.241,0.676,0.847,0.899,0.945,0.337,0.753,0.893,0.929,0.962
TNF--Y2,0.241,0.676,0.847,0.213,0.945,0.337,0.753,0.893,0.415,0.962
TYF--C1,0.689,0.77,0.714,0.899,0.945,0.195,0.929,0.917,0.972,0.983
TYF--C2,0.689,0.77,0.714,0.213,0.945,0.195,0.929,0.917,0.768,0.983
TYF--Y1,0.241,0.77,0.714,0.899,0.945,0.195,0.829,0.794,0.929,0.962
TYF--Y2,0.241,0.77,0.714,0.213,0.945,0.195,0.829,0.794,0.415,0.962
TNYNYC1,0.689,0.575,0.811,0.899,0.461,0.337,0.869,0.947,0.972,0.846
TNYNYC2,0.689,0.575,0.811,0.213,0.461,0.337,0.869,0.947,0.768,0.846
TNYNYY1,0.241,0.575,0.811,0.899,0.461,0.337,0.684,0.864,0.929,0.607
TNYNYY2,0.241,0.575,0.811,0.213,0.461,0.337,0.684,0.864,0.415,0.607
TYYYYC1,0.689,0.719,0.633,0.899,0.461,0.195,0.915,0.891,0.972,0.846
TYYYYC2,0.689,0.719,0.633,0.213,0.461,0.195,0.915,0.891,0.768,0.846
